start	end	text
0	5320	I'm a 24 years old millionaire, and this is the strategy you should be using if you want
5320	9160	to hit seven figures, like 100K per month in the trading space.
9160	15320	This is going to be the most important video that you're going to watch on your TikTok
15320	21360	or social media ever, because I'm giving you the exact rules, actionable steps you could
21360	27360	use for yourself without a need to either follow me or follow other mentors.
28000	36120	A mentor is someone you work with 101, that's the deal, but the principles is, when you
36120	41280	are trading the NASDAQ, it doesn't matter if it's an index C, CFD, or if it's a cash
41280	46440	market or if it's a micro or mini future, you just have to be aware of the leverage.
46440	53280	Mini is 25x leverage, micro is 2, and the CFD, the cash market, is just like 101.
53280	58080	You have to not trade for the first 15 minutes.
58080	67680	After that, you mark the highs and the lows for the first 15 market, the price fluctuation,
67680	72800	and what you do is you mark the highs and lows, and you only enter long if it breaks
72800	79920	more than 15 points above, and you enter short, so if it goes up 15 points you go in, you
79920	85840	risk 30 points, and you target 60 points, so 2R on your funder challenge, live challenge,
85840	94160	whatever you want to do, you risk never more than 0.5%, you target 1%, okay?
94160	100160	So that's the golden rule, and that's the real bankroll management system that will
100160	102280	keep you in this game.
102280	109640	Once you really see there's really progress and momentum, after 15 minutes, and you could
110360	114920	see it really went up, but it really didn't go above that 15 minute highs after 5-10 minutes
114920	119440	after that 15 minute time period, you do not do anything, but once it's really come above
119440	125000	with 15 points, then you win, and then your job is just to set and forget.
125000	131960	You could eat, this have like over 65% win rate, and with that 2R risk to reward, like
131960	140520	1% win, 2.5% risk, you could be using the stop loss at 20, and target 40, you could
140520	146520	also be using 30, target 60, but you can also be doing the 20 or the 30 point stop loss,
146520	149960	it doesn't really matter, you have to pay attention to this, it doesn't really matter
149960	153720	if you target 100 or 120 points, okay?
153720	155760	You still have the same win rate, okay?
155760	160240	So you might ask, why do you only target 60 points or 40 points, because you don't want
160240	165240	to be holding it, and you don't want to be waiting and thinking mentally about the overall
165240	166240	positions, okay?
166240	168240	But it still works, okay?
168240	173080	So it doesn't matter how many points you go after, you just have to really not risk more
173080	180080	than 0.5%, you could target 1% like I do, you could target 1.5%, 2%, 3%, 4%, it still
180080	182800	works, it still works, okay?
182800	188760	What does not work is if you go in and you have a very wide stop loss, you start risking
188760	193960	1%, 2%, 3%, don't do that, so you could have the 20 point stop loss, but make sure you
193960	201440	adjust it to only risk if you fund your account of 50k or 100k, only risk like the 0.5%, same
201440	207160	with my live account, if I have 5 million, I never risk more than 50k, okay, per trade,
207160	214480	that's the worst, worst, worst swing ever, okay, per day, so per session 0.5%, these
214520	220720	numbers is so easy for you to, you know, copy and learn it for yourself and you can backtest
220720	224920	it and you can backtest it and you can do it with whatever software you want and you
224920	230560	can see this actually works on the DAX, on the UK 100, on the NASDAQ and how can you
230560	237160	trade the DAX with funder account, you could trade the FDXM or FDXS, okay, this is the
237160	244160	micro for DAX moving like MNQ, 2x leverage, so no excuses here, there's nothing to worry
244640	249920	about, just trust the system, trust the process and remember, every time you get stucked out,
249920	255840	it was a part of the plan, every time you are exit something, remember to celebrate,
255840	261040	not just mentally, but also go out, celebrate and tell yourself that this is great, this
261040	265920	system works, we should be using it over and over again, max 2 trades, max 1% risk per
265920	272920	day, 0.5% per trade, max 2 trades per day, overall, this rate will make you very wealthy,
275080	282080	and if you start with 10, 20, 30k on your live account with TD365, if you want to get
282800	287280	help with common trading, I can send you the program I am using, you can get mentored
287280	292440	by me, okay, but you don't have to, okay, but you can, and you can reach out, but this
292440	298120	is poor value to you, okay, this is not something that I want to sell you, okay, what I mean
298120	302760	with that is I am actually giving you the rules, so stop making excuses, start executing.
